ATR_Multiplier,RR_Ratio,Threshold,total_trades,win_rate,expectancy_r,profit_factor,max_drawdown_r,max_drawdown_percent,sharpe_ratio
1.5,2.0,60,40,50.0,0.5,2.0,3.0,3.0,0.329
1.5,2.0,65,29,48.28,0.448,1.867,3.0,3.0,0.294
1.5,2.0,70,19,31.58,-0.053,0.923,5.0,5.0,-0.037
1.5,2.0,75,12,25.0,-0.25,0.667,4.0,4.0,-0.184
1.5,2.0,80,10,30.0,-0.1,0.857,2.0,2.0,-0.069
1.5,2.0,85,8,50.0,0.5,2.0,1.0,1.0,0.312
1.5,2.0,90,5,40.0,0.2,1.333,1.0,1.0,0.122
1.5,2.5,60,40,40.0,0.4,1.667,4.0,4.0,0.23
1.5,2.5,65,29,41.38,0.448,1.765,4.0,4.0,0.256
1.5,2.5,70,19,31.58,0.105,1.154,4.5,4.5,0.063
1.5,2.5,75,12,25.0,-0.125,0.833,4.0,4.0,-0.079
1.5,2.5,80,10,30.0,0.05,1.071,2.0,2.0,0.03
1.5,2.5,85,8,50.0,0.75,2.5,1.0,1.0,0.401
1.5,2.5,90,5,40.0,0.4,1.667,1.0,1.0,0.209
1.5,3.0,60,40,37.5,0.5,1.8,5.0,5.0,0.255
1.5,3.0,65,29,37.93,0.517,1.833,6.0,6.0,0.262
1.5,3.0,70,19,26.32,0.053,1.071,7.0,7.0,0.029
1.5,3.0,75,12,16.67,-0.333,0.6,4.0,4.0,-0.214
1.5,3.0,80,10,20.0,-0.2,0.75,4.0,4.0,-0.119
1.5,3.0,85,8,37.5,0.5,1.8,3.0,3.0,0.242
1.5,3.0,90,5,20.0,-0.2,0.75,2.0,2.0,-0.112
2.0,1.0,60,37,59.46,0.189,1.467,5.0,5.0,0.19
2.0,1.0,65,27,55.56,0.111,1.25,4.0,4.0,0.11
2.0,1.0,70,18,38.89,-0.222,0.636,6.0,6.0,-0.221
2.0,1.0,75,11,27.27,-0.455,0.375,4.0,4.0,-0.487
2.0,1.0,80,10,40.0,-0.2,0.667,2.0,2.0,-0.194
2.0,1.0,85,8,50.0,0.0,1.0,1.0,1.0,0.0
2.0,1.0,90,5,60.0,0.2,1.5,1.0,1.0,0.183
2.0,1.5,60,37,45.95,0.149,1.275,3.0,3.0,0.118
2.0,1.5,65,27,48.15,0.204,1.393,3.0,3.0,0.16
2.0,1.5,70,18,33.33,-0.167,0.75,5.5,5.5,-0.137
2.0,1.5,75,11,27.27,-0.318,0.562,3.0,3.0,-0.272
2.0,1.5,80,10,40.0,0.0,1.0,2.0,2.0,0.0
2.0,1.5,85,8,50.0,0.25,1.5,1.0,1.0,0.187
2.0,1.5,90,5,60.0,0.5,2.25,1.0,1.0,0.365
2.0,2.0,60,37,35.14,0.054,1.083,5.0,5.0,0.037
2.0,2.0,65,27,40.74,0.222,1.375,5.0,5.0,0.148
2.0,2.0,70,18,33.33,0.0,1.0,4.0,4.0,0.0
2.0,2.0,75,11,27.27,-0.182,0.75,2.0,2.0,-0.13
2.0,2.0,80,10,40.0,0.2,1.333,2.0,2.0,0.129
2.0,2.0,85,8,50.0,0.5,2.0,1.0,1.0,0.312
2.0,2.0,90,5,60.0,0.8,3.0,1.0,1.0,0.487
2.0,2.5,60,37,29.73,0.041,1.058,6.0,6.0,0.025
2.0,2.5,65,27,37.04,0.296,1.471,6.0,6.0,0.172
2.0,2.5,70,18,27.78,-0.028,0.962,6.5,6.5,-0.017
2.0,2.5,75,11,18.18,-0.364,0.556,5.0,5.0,-0.257
2.0,2.5,80,10,30.0,0.05,1.071,4.0,4.0,0.03
2.0,2.5,85,8,37.5,0.312,1.5,3.0,3.0,0.173
2.0,2.5,90,5,40.0,0.4,1.667,2.0,2.0,0.209
2.0,3.0,60,36,22.22,-0.111,0.857,14.0,14.0,-0.066
2.0,3.0,65,27,25.93,0.037,1.05,11.0,11.0,0.021
2.0,3.0,70,18,22.22,-0.111,0.857,10.0,10.0,-0.065
2.0,3.0,75,11,9.09,-0.636,0.3,8.0,8.0,-0.528
2.0,3.0,80,10,20.0,-0.2,0.75,6.0,6.0,-0.119
2.0,3.0,85,8,25.0,0.0,1.0,3.0,3.0,0.0
2.0,3.0,90,5,20.0,-0.2,0.75,2.0,2.0,-0.112
2.5,1.0,60,37,64.86,0.297,1.846,3.0,3.0,0.307
2.5,1.0,65,27,59.26,0.185,1.455,3.0,3.0,0.185
2.5,1.0,70,18,55.56,0.111,1.25,3.0,3.0,0.109
2.5,1.0,75,10,40.0,-0.2,0.667,3.0,3.0,-0.194
2.5,1.0,80,9,55.56,0.111,1.25,1.0,1.0,0.105
2.5,1.0,85,8,62.5,0.25,1.667,1.0,1.0,0.242
2.5,1.0,90,5,80.0,0.6,4.0,1.0,1.0,0.671
2.5,1.5,60,37,43.24,0.081,1.143,5.0,5.0,0.065
2.5,1.5,65,27,48.15,0.204,1.393,5.0,5.0,0.16
2.5,1.5,70,18,44.44,0.111,1.2,3.0,3.0,0.087
2.5,1.5,75,10,40.0,0.0,1.0,2.5,2.5,0.0
2.5,1.5,80,9,55.56,0.389,1.875,1.0,1.0,0.295
2.5,1.5,85,8,62.5,0.562,2.5,1.0,1.0,0.435
2.5,1.5,90,5,80.0,1.0,6.0,1.0,1.0,0.894
2.5,2.0,60,37,37.84,0.135,1.217,6.0,6.0,0.092
2.5,2.0,65,27,44.44,0.333,1.6,5.0,5.0,0.219
2.5,2.0,70,18,38.89,0.167,1.273,4.0,4.0,0.111
2.5,2.0,75,10,30.0,-0.1,0.857,5.0,5.0,-0.069
2.5,2.0,80,9,44.44,0.333,1.6,3.0,3.0,0.211
2.5,2.0,85,8,50.0,0.5,2.0,3.0,3.0,0.312
2.5,2.0,90,5,60.0,0.8,3.0,2.0,2.0,0.487
2.5,2.5,60,36,27.78,-0.028,0.962,10.5,10.5,-0.017
2.5,2.5,65,27,29.63,0.037,1.053,7.5,7.5,0.023
2.5,2.5,70,18,27.78,-0.028,0.962,6.5,6.5,-0.017
2.5,2.5,75,10,10.0,-0.65,0.278,8.0,8.0,-0.587
2.5,2.5,80,9,22.22,-0.222,0.714,3.5,3.5,-0.144
2.5,2.5,85,8,12.5,-0.562,0.357,3.5,3.5,-0.455
2.5,2.5,90,5,20.0,-0.3,0.625,2.0,2.0,-0.192
2.5,3.0,60,36,25.0,0.0,1.0,14.0,14.0,0.0
2.5,3.0,65,27,22.22,-0.111,0.857,11.0,11.0,-0.066
2.5,3.0,70,18,16.67,-0.333,0.6,13.0,13.0,-0.217
2.5,3.0,75,10,0.0,-1.0,0.0,9.0,9.0,0.0
2.5,3.0,80,9,0.0,-1.0,0.0,8.0,8.0,0.0
2.5,3.0,85,8,0.0,-1.0,0.0,7.0,7.0,0.0
2.5,3.0,90,5,0.0,-1.0,0.0,4.0,4.0,0.0
3.0,1.0,60,35,51.43,0.029,1.059,3.0,3.0,0.028
3.0,1.0,65,25,52.0,0.04,1.083,3.0,3.0,0.039
3.0,1.0,70,16,43.75,-0.125,0.778,5.0,5.0,-0.122
3.0,1.0,75,10,40.0,-0.2,0.667,3.0,3.0,-0.194
3.0,1.0,80,9,55.56,0.111,1.25,1.0,1.0,0.105
3.0,1.0,85,8,62.5,0.25,1.667,1.0,1.0,0.242
3.0,1.0,90,5,80.0,0.6,4.0,1.0,1.0,0.671
3.0,1.5,60,35,40.0,0.0,1.0,5.5,5.5,0.0
3.0,1.5,65,25,44.0,0.1,1.179,5.0,5.0,0.079
3.0,1.5,70,16,31.25,-0.219,0.682,7.0,7.0,-0.183
3.0,1.5,75,10,30.0,-0.25,0.643,5.0,5.0,-0.207
3.0,1.5,80,9,44.44,0.111,1.2,3.0,3.0,0.084
3.0,1.5,85,8,50.0,0.25,1.5,3.0,3.0,0.187
3.0,1.5,90,5,60.0,0.5,2.25,2.0,2.0,0.365
3.0,2.0,60,35,25.71,-0.229,0.692,13.0,13.0,-0.172
3.0,2.0,65,25,28.0,-0.16,0.778,10.0,10.0,-0.116
3.0,2.0,70,16,18.75,-0.438,0.462,9.0,9.0,-0.362
3.0,2.0,75,10,10.0,-0.7,0.222,8.0,8.0,-0.738
3.0,2.0,80,9,33.33,0.0,1.0,3.0,3.0,0.0
3.0,2.0,85,8,25.0,-0.25,0.667,3.0,3.0,-0.18
3.0,2.0,90,5,20.0,-0.4,0.5,2.0,2.0,-0.298
3.0,2.5,60,35,25.71,-0.1,0.865,13.0,13.0,-0.064
3.0,2.5,65,25,24.0,-0.16,0.789,10.5,10.5,-0.105
3.0,2.5,70,16,12.5,-0.562,0.357,12.0,12.0,-0.471
3.0,2.5,75,10,0.0,-1.0,0.0,9.0,9.0,0.0
3.0,2.5,80,9,11.11,-0.611,0.312,6.0,6.0,-0.524
3.0,2.5,85,8,25.0,-0.125,0.833,3.0,3.0,-0.077
3.0,2.5,90,5,20.0,-0.3,0.625,2.0,2.0,-0.192
3.0,3.0,60,34,20.59,-0.176,0.778,15.0,15.0,-0.107
3.0,3.0,65,25,20.0,-0.2,0.75,12.0,12.0,-0.122
3.0,3.0,70,16,12.5,-0.5,0.429,12.0,12.0,-0.366
3.0,3.0,75,10,0.0,-1.0,0.0,9.0,9.0,0.0
3.0,3.0,80,9,11.11,-0.556,0.375,6.0,6.0,-0.417
3.0,3.0,85,8,25.0,0.0,1.0,3.0,3.0,0.0
3.0,3.0,90,5,20.0,-0.2,0.75,2.0,2.0,-0.112
