timestamp,direction,entry_price,sl,tp,final_score,trend_score,breakout_score,pullback_score,reversal_score,session_score,regime,result_r,exit_price,close_time
2025-11-04 14:35:00,BUY,3934.208,3933.708,3935.208,69.5147559746944,0.0,0.0,0.0,69.5147559746944,100.0,UNKNOWN,-1.0,3933.708,2025-11-04 14:40:00
2025-11-14 13:15:00,BUY,4077.051,4076.551,4078.051,74.35767108768609,0.0,0.0,0.0,74.35767108768609,100.0,UNKNOWN,-1.0,4076.551,2025-11-14 13:20:00
2025-11-14 13:25:00,BUY,4055.78,4055.28,4056.78,93.27595528078163,0.0,0.0,0.0,93.27595528078163,100.0,UNKNOWN,-1.0,4055.28,2025-11-14 13:30:00
2025-11-14 13:35:00,BUY,4055.882,4055.382,4056.882,89.3234240496087,0.0,0.0,0.0,89.3234240496087,100.0,UNKNOWN,-1.0,4055.382,2025-11-14 13:40:00
2025-11-14 13:45:00,BUY,4052.368,4051.868,4053.368,92.46664568924274,0.0,0.0,0.0,92.46664568924274,100.0,UNKNOWN,-1.0,4051.868,2025-11-14 13:50:00
2025-11-14 14:00:00,BUY,4049.053,4048.553,4050.053,67.81998372644125,0.0,0.0,0.0,67.81998372644125,100.0,UNKNOWN,-1.0,4048.553,2025-11-14 14:05:00
2025-12-16 14:15:00,SELL,4326.979,4327.479,4325.979,81.46105458592899,0.0,0.0,0.0,-81.46105458592899,100.0,UNKNOWN,-1.0,4327.479,2025-12-16 14:20:00
2025-12-23 15:00:00,BUY,4434.251,4433.751,4435.251,68.931930591094,0.0,0.0,0.0,68.931930591094,100.0,UNKNOWN,-1.0,4433.751,2025-12-23 15:05:00
2025-12-29 13:50:00,BUY,4411.601000000001,4411.101000000001,4412.601000000001,71.54107052825346,0.0,0.0,0.0,71.54107052825346,100.0,UNKNOWN,-1.0,4411.101000000001,2025-12-29 13:55:00
2025-12-29 15:00:00,BUY,4341.627,4341.127,4342.627,74.12413331547789,0.0,0.0,0.0,74.12413331547789,100.0,UNKNOWN,-1.0,4341.127,2025-12-29 15:05:00
