regime,session,cooldown,atr_filter,direction,total_trades,win_rate,profit_factor,expectancy,max_drawdown_r,sharpe
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,12,MID_ONLY,SELL_ONLY,23,13.04,0.375,-0.543,13.0,-0.451
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,0,ALL,BOTH,39,30.77,1.111,0.077,9.0,0.047
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,0,ALL,BUY_ONLY,13,30.77,1.111,0.077,5.0,0.046
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,0,ALL,SELL_ONLY,26,30.77,1.111,0.077,5.5,0.047
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,0,MID_ONLY,BOTH,30,33.33,1.25,0.167,5.5,0.099
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,0,MID_ONLY,BUY_ONLY,10,40.0,1.667,0.4,3.0,0.221
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,0,MID_ONLY,SELL_ONLY,20,30.0,1.071,0.05,4.0,0.03
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,3,ALL,BOTH,39,30.77,1.111,0.077,9.0,0.047
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,3,ALL,BUY_ONLY,13,30.77,1.111,0.077,5.0,0.046
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,3,ALL,SELL_ONLY,26,30.77,1.111,0.077,5.5,0.047
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,3,MID_ONLY,BOTH,30,33.33,1.25,0.167,5.5,0.099
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,3,MID_ONLY,BUY_ONLY,10,40.0,1.667,0.4,3.0,0.221
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,3,MID_ONLY,SELL_ONLY,20,30.0,1.071,0.05,4.0,0.03
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,6,ALL,BOTH,38,31.58,1.154,0.105,9.0,0.064
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,6,ALL,BUY_ONLY,13,30.77,1.111,0.077,5.0,0.046
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,6,ALL,SELL_ONLY,26,30.77,1.111,0.077,5.5,0.047
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,6,MID_ONLY,BOTH,30,33.33,1.25,0.167,5.5,0.099
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,6,MID_ONLY,BUY_ONLY,10,40.0,1.667,0.4,3.0,0.221
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,6,MID_ONLY,SELL_ONLY,20,30.0,1.071,0.05,4.0,0.03
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,12,ALL,BOTH,38,31.58,1.154,0.105,9.0,0.064
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,12,ALL,BUY_ONLY,13,30.77,1.111,0.077,5.0,0.046
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,12,ALL,SELL_ONLY,26,30.77,1.111,0.077,5.5,0.047
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,12,MID_ONLY,BOTH,29,31.03,1.125,0.086,7.5,0.052
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,12,MID_ONLY,BUY_ONLY,10,40.0,1.667,0.4,3.0,0.221
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,12,MID_ONLY,SELL_ONLY,20,30.0,1.071,0.05,4.0,0.03
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,0,ALL,BOTH,154,30.52,1.098,0.068,12.5,0.042
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,0,ALL,BUY_ONLY,54,40.74,1.719,0.426,8.0,0.245
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,0,ALL,SELL_ONLY,100,25.0,0.833,-0.125,16.5,-0.082
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,0,MID_ONLY,BOTH,113,31.86,1.169,0.115,10.5,0.07
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,0,MID_ONLY,BUY_ONLY,42,42.86,1.875,0.5,6.0,0.285
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,0,MID_ONLY,SELL_ONLY,71,25.35,0.849,-0.113,9.5,-0.073
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,3,ALL,BOTH,153,30.72,1.108,0.075,12.5,0.046
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,3,ALL,BUY_ONLY,54,40.74,1.719,0.426,8.0,0.245
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,3,ALL,SELL_ONLY,99,25.25,0.845,-0.116,16.0,-0.076
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,3,MID_ONLY,BOTH,113,31.86,1.169,0.115,10.5,0.07
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,3,MID_ONLY,BUY_ONLY,42,42.86,1.875,0.5,6.0,0.285
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,3,MID_ONLY,SELL_ONLY,71,25.35,0.849,-0.113,9.5,-0.073
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,6,ALL,BOTH,152,30.26,1.085,0.059,12.5,0.037
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,6,ALL,BUY_ONLY,54,40.74,1.719,0.426,8.0,0.245
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,6,ALL,SELL_ONLY,98,24.49,0.811,-0.143,16.0,-0.094
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,6,MID_ONLY,BOTH,113,31.86,1.169,0.115,10.5,0.07
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,6,MID_ONLY,BUY_ONLY,42,42.86,1.875,0.5,6.0,0.285
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,6,MID_ONLY,SELL_ONLY,71,25.35,0.849,-0.113,9.5,-0.073
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,12,ALL,BOTH,149,30.87,1.117,0.081,12.5,0.05
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,12,ALL,BUY_ONLY,54,40.74,1.719,0.426,8.0,0.245
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,12,ALL,SELL_ONLY,96,25.0,0.833,-0.125,15.0,-0.082
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,12,MID_ONLY,BOTH,111,31.53,1.151,0.104,10.5,0.063
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,12,MID_ONLY,BUY_ONLY,42,42.86,1.875,0.5,6.0,0.285
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,12,MID_ONLY,SELL_ONLY,68,25.0,0.833,-0.125,9.5,-0.082
