regime,session,cooldown,atr_filter,direction,total_trades,win_rate,profit_factor,expectancy,max_drawdown_r,sharpe
ALL,LONDON_ONLY,3,ALL,SELL_ONLY,27,29.63,1.053,0.037,6.0,0.023
ALL,LONDON_ONLY,3,MID_ONLY,BOTH,33,33.33,1.25,0.167,6.5,0.099
ALL,LONDON_ONLY,3,MID_ONLY,BUY_ONLY,12,41.67,1.786,0.458,3.0,0.254
ALL,LONDON_ONLY,3,MID_ONLY,SELL_ONLY,21,28.57,1.0,0.0,5.0,0.0
ALL,LONDON_ONLY,6,ALL,BOTH,42,28.57,1.0,0.0,11.5,0.0
ALL,LONDON_ONLY,6,ALL,BUY_ONLY,17,29.41,1.042,0.029,6.0,0.018
ALL,LONDON_ONLY,6,ALL,SELL_ONLY,26,26.92,0.921,-0.058,6.5,-0.036
ALL,LONDON_ONLY,6,MID_ONLY,BOTH,33,33.33,1.25,0.167,6.5,0.099
ALL,LONDON_ONLY,6,MID_ONLY,BUY_ONLY,12,41.67,1.786,0.458,3.0,0.254
ALL,LONDON_ONLY,6,MID_ONLY,SELL_ONLY,21,28.57,1.0,0.0,5.0,0.0
ALL,LONDON_ONLY,12,ALL,BOTH,42,28.57,1.0,0.0,11.5,0.0
ALL,LONDON_ONLY,12,ALL,BUY_ONLY,17,29.41,1.042,0.029,6.0,0.018
ALL,LONDON_ONLY,12,ALL,SELL_ONLY,26,26.92,0.921,-0.058,6.5,-0.036
ALL,LONDON_ONLY,12,MID_ONLY,BOTH,32,31.25,1.136,0.094,8.5,0.057
ALL,LONDON_ONLY,12,MID_ONLY,BUY_ONLY,12,41.67,1.786,0.458,3.0,0.254
ALL,LONDON_ONLY,12,MID_ONLY,SELL_ONLY,20,25.0,0.833,-0.125,7.5,-0.08
ALL,LONDON_AND_NY,0,ALL,BOTH,168,30.36,1.09,0.062,13.0,0.039
ALL,LONDON_AND_NY,0,ALL,BUY_ONLY,66,37.88,1.524,0.326,9.0,0.19
ALL,LONDON_AND_NY,0,ALL,SELL_ONLY,103,25.24,0.844,-0.117,19.5,-0.076
ALL,LONDON_AND_NY,0,MID_ONLY,BOTH,124,32.26,1.19,0.129,11.0,0.079
ALL,LONDON_AND_NY,0,MID_ONLY,BUY_ONLY,50,42.0,1.81,0.47,7.0,0.269
ALL,LONDON_AND_NY,0,MID_ONLY,SELL_ONLY,75,25.33,0.848,-0.113,10.5,-0.074
ALL,LONDON_AND_NY,3,ALL,BOTH,168,30.36,1.09,0.062,13.0,0.039
ALL,LONDON_AND_NY,3,ALL,BUY_ONLY,66,37.88,1.524,0.326,9.0,0.19
ALL,LONDON_AND_NY,3,ALL,SELL_ONLY,102,25.49,0.855,-0.108,18.5,-0.07
ALL,LONDON_AND_NY,3,MID_ONLY,BOTH,124,32.26,1.19,0.129,11.0,0.079
ALL,LONDON_AND_NY,3,MID_ONLY,BUY_ONLY,50,42.0,1.81,0.47,7.0,0.269
ALL,LONDON_AND_NY,3,MID_ONLY,SELL_ONLY,75,25.33,0.848,-0.113,10.5,-0.074
ALL,LONDON_AND_NY,6,ALL,BOTH,166,30.12,1.078,0.054,13.0,0.034
ALL,LONDON_AND_NY,6,ALL,BUY_ONLY,66,37.88,1.524,0.326,9.0,0.19
ALL,LONDON_AND_NY,6,ALL,SELL_ONLY,101,24.75,0.822,-0.134,18.5,-0.088
ALL,LONDON_AND_NY,6,MID_ONLY,BOTH,123,32.52,1.205,0.138,11.0,0.084
ALL,LONDON_AND_NY,6,MID_ONLY,BUY_ONLY,50,42.0,1.81,0.47,7.0,0.269
ALL,LONDON_AND_NY,6,MID_ONLY,SELL_ONLY,75,25.33,0.848,-0.113,10.5,-0.074
ALL,LONDON_AND_NY,12,ALL,BOTH,163,30.67,1.106,0.074,11.0,0.045
ALL,LONDON_AND_NY,12,ALL,BUY_ONLY,66,37.88,1.524,0.326,9.0,0.19
ALL,LONDON_AND_NY,12,ALL,SELL_ONLY,99,25.25,0.845,-0.116,17.5,-0.076
ALL,LONDON_AND_NY,12,MID_ONLY,BOTH,121,32.23,1.189,0.128,11.0,0.078
ALL,LONDON_AND_NY,12,MID_ONLY,BUY_ONLY,50,42.0,1.81,0.47,7.0,0.269
ALL,LONDON_AND_NY,12,MID_ONLY,SELL_ONLY,72,25.0,0.833,-0.125,10.5,-0.082
HIGH_VOLATILITY_ONLY,ALL,0,ALL,BOTH,53,37.74,1.515,0.321,8.5,0.187
HIGH_VOLATILITY_ONLY,ALL,0,ALL,BUY_ONLY,14,57.14,3.333,1.0,3.0,0.556
HIGH_VOLATILITY_ONLY,ALL,0,ALL,SELL_ONLY,39,30.77,1.111,0.077,10.0,0.047
HIGH_VOLATILITY_ONLY,ALL,0,MID_ONLY,BOTH,32,46.88,2.206,0.641,3.0,0.361
HIGH_VOLATILITY_ONLY,ALL,0,MID_ONLY,BUY_ONLY,9,66.67,5.0,1.333,1.0,0.762
HIGH_VOLATILITY_ONLY,ALL,0,MID_ONLY,SELL_ONLY,23,39.13,1.607,0.37,4.0,0.212
HIGH_VOLATILITY_ONLY,ALL,3,ALL,BOTH,53,37.74,1.515,0.321,8.5,0.187
HIGH_VOLATILITY_ONLY,ALL,3,ALL,BUY_ONLY,14,57.14,3.333,1.0,3.0,0.556
HIGH_VOLATILITY_ONLY,ALL,3,ALL,SELL_ONLY,39,30.77,1.111,0.077,10.0,0.047
HIGH_VOLATILITY_ONLY,ALL,3,MID_ONLY,BOTH,32,46.88,2.206,0.641,3.0,0.361
HIGH_VOLATILITY_ONLY,ALL,3,MID_ONLY,BUY_ONLY,9,66.67,5.0,1.333,1.0,0.762
HIGH_VOLATILITY_ONLY,ALL,3,MID_ONLY,SELL_ONLY,23,39.13,1.607,0.37,4.0,0.212
HIGH_VOLATILITY_ONLY,ALL,6,ALL,BOTH,52,38.46,1.562,0.346,7.5,0.201
HIGH_VOLATILITY_ONLY,ALL,6,ALL,BUY_ONLY,14,57.14,3.333,1.0,3.0,0.556
HIGH_VOLATILITY_ONLY,ALL,6,ALL,SELL_ONLY,39,30.77,1.111,0.077,10.0,0.047
HIGH_VOLATILITY_ONLY,ALL,6,MID_ONLY,BOTH,32,46.88,2.206,0.641,3.0,0.361
HIGH_VOLATILITY_ONLY,ALL,6,MID_ONLY,BUY_ONLY,9,66.67,5.0,1.333,1.0,0.762
HIGH_VOLATILITY_ONLY,ALL,6,MID_ONLY,SELL_ONLY,23,39.13,1.607,0.37,4.0,0.212
HIGH_VOLATILITY_ONLY,ALL,12,ALL,BOTH,51,39.22,1.613,0.373,7.5,0.216
HIGH_VOLATILITY_ONLY,ALL,12,ALL,BUY_ONLY,14,57.14,3.333,1.0,3.0,0.556
HIGH_VOLATILITY_ONLY,ALL,12,ALL,SELL_ONLY,38,31.58,1.154,0.105,9.0,0.064
HIGH_VOLATILITY_ONLY,ALL,12,MID_ONLY,BOTH,32,46.88,2.206,0.641,3.0,0.361
HIGH_VOLATILITY_ONLY,ALL,12,MID_ONLY,BUY_ONLY,9,66.67,5.0,1.333,1.0,0.762
HIGH_VOLATILITY_ONLY,ALL,12,MID_ONLY,SELL_ONLY,23,39.13,1.607,0.37,4.0,0.212
HIGH_VOLATILITY_ONLY,NY_ONLY,0,ALL,BOTH,4,25.0,0.833,-0.125,1.0,-0.071
HIGH_VOLATILITY_ONLY,NY_ONLY,0,ALL,SELL_ONLY,4,25.0,0.833,-0.125,1.0,-0.071
HIGH_VOLATILITY_ONLY,NY_ONLY,0,MID_ONLY,BOTH,2,50.0,2.5,0.75,0.0,0.303
HIGH_VOLATILITY_ONLY,NY_ONLY,0,MID_ONLY,SELL_ONLY,2,50.0,2.5,0.75,0.0,0.303
HIGH_VOLATILITY_ONLY,NY_ONLY,3,ALL,BOTH,4,25.0,0.833,-0.125,1.0,-0.071
HIGH_VOLATILITY_ONLY,NY_ONLY,3,ALL,SELL_ONLY,4,25.0,0.833,-0.125,1.0,-0.071
HIGH_VOLATILITY_ONLY,NY_ONLY,3,MID_ONLY,BOTH,2,50.0,2.5,0.75,0.0,0.303
HIGH_VOLATILITY_ONLY,NY_ONLY,3,MID_ONLY,SELL_ONLY,2,50.0,2.5,0.75,0.0,0.303
HIGH_VOLATILITY_ONLY,NY_ONLY,6,ALL,BOTH,4,25.0,0.833,-0.125,1.0,-0.071
HIGH_VOLATILITY_ONLY,NY_ONLY,6,ALL,SELL_ONLY,4,25.0,0.833,-0.125,1.0,-0.071
HIGH_VOLATILITY_ONLY,NY_ONLY,6,MID_ONLY,BOTH,2,50.0,2.5,0.75,0.0,0.303
HIGH_VOLATILITY_ONLY,NY_ONLY,6,MID_ONLY,SELL_ONLY,2,50.0,2.5,0.75,0.0,0.303
HIGH_VOLATILITY_ONLY,NY_ONLY,12,ALL,BOTH,4,25.0,0.833,-0.125,1.0,-0.071
HIGH_VOLATILITY_ONLY,NY_ONLY,12,ALL,SELL_ONLY,4,25.0,0.833,-0.125,1.0,-0.071
HIGH_VOLATILITY_ONLY,NY_ONLY,12,MID_ONLY,BOTH,2,50.0,2.5,0.75,0.0,0.303
HIGH_VOLATILITY_ONLY,NY_ONLY,12,MID_ONLY,SELL_ONLY,2,50.0,2.5,0.75,0.0,0.303
HIGH_VOLATILITY_ONLY,LONDON_ONLY,0,ALL,BOTH,5,60.0,3.75,1.1,1.0,0.574
HIGH_VOLATILITY_ONLY,LONDON_ONLY,0,ALL,BUY_ONLY,1,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_ONLY,0,ALL,SELL_ONLY,4,50.0,2.5,0.75,1.0,0.371
HIGH_VOLATILITY_ONLY,LONDON_ONLY,0,MID_ONLY,BOTH,3,66.67,5.0,1.333,0.0,0.66
HIGH_VOLATILITY_ONLY,LONDON_ONLY,0,MID_ONLY,BUY_ONLY,1,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_ONLY,0,MID_ONLY,SELL_ONLY,2,50.0,2.5,0.75,0.0,0.303
HIGH_VOLATILITY_ONLY,LONDON_ONLY,3,ALL,BOTH,5,60.0,3.75,1.1,1.0,0.574
HIGH_VOLATILITY_ONLY,LONDON_ONLY,3,ALL,BUY_ONLY,1,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_ONLY,3,ALL,SELL_ONLY,4,50.0,2.5,0.75,1.0,0.371
HIGH_VOLATILITY_ONLY,LONDON_ONLY,3,MID_ONLY,BOTH,3,66.67,5.0,1.333,0.0,0.66
HIGH_VOLATILITY_ONLY,LONDON_ONLY,3,MID_ONLY,BUY_ONLY,1,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_ONLY,3,MID_ONLY,SELL_ONLY,2,50.0,2.5,0.75,0.0,0.303
HIGH_VOLATILITY_ONLY,LONDON_ONLY,6,ALL,BOTH,5,60.0,3.75,1.1,1.0,0.574
HIGH_VOLATILITY_ONLY,LONDON_ONLY,6,ALL,BUY_ONLY,1,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_ONLY,6,ALL,SELL_ONLY,4,50.0,2.5,0.75,1.0,0.371
HIGH_VOLATILITY_ONLY,LONDON_ONLY,6,MID_ONLY,BOTH,3,66.67,5.0,1.333,0.0,0.66
HIGH_VOLATILITY_ONLY,LONDON_ONLY,6,MID_ONLY,BUY_ONLY,1,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_ONLY,6,MID_ONLY,SELL_ONLY,2,50.0,2.5,0.75,0.0,0.303
HIGH_VOLATILITY_ONLY,LONDON_ONLY,12,ALL,BOTH,5,60.0,3.75,1.1,1.0,0.574
HIGH_VOLATILITY_ONLY,LONDON_ONLY,12,ALL,BUY_ONLY,1,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_ONLY,12,ALL,SELL_ONLY,4,50.0,2.5,0.75,1.0,0.371
HIGH_VOLATILITY_ONLY,LONDON_ONLY,12,MID_ONLY,BOTH,3,66.67,5.0,1.333,0.0,0.66
HIGH_VOLATILITY_ONLY,LONDON_ONLY,12,MID_ONLY,BUY_ONLY,1,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_ONLY,12,MID_ONLY,SELL_ONLY,2,50.0,2.5,0.75,0.0,0.303
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,0,ALL,BOTH,15,40.0,1.667,0.4,4.0,0.225
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,0,ALL,BUY_ONLY,2,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,0,ALL,SELL_ONLY,13,30.77,1.111,0.077,6.0,0.046
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,0,MID_ONLY,BOTH,7,57.14,3.333,1.0,2.0,0.535
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,0,MID_ONLY,BUY_ONLY,1,100.0,inf,2.5,0.0,0.0
