time,open,high,low,close,tick_volume,spread,real_volume,rsi,macd,macd_signal,macd_hist,ema50,ema200,atr,adx,plus_di,minus_di,ema50_slope,recent_high_20,recent_low_20,session_score,trend_score,h1_struct_trend,is_swing_high,is_swing_low,last_swing_high,last_swing_low,prev_swing_high,prev_swing_low,known_last_swing_high,known_prev_swing_high,known_last_swing_low,known_prev_swing_low,struct_hh,struct_lh,struct_hl,struct_ll,struct_trend,struct_strength,distance_to_last_HH,distance_to_last_LL,distance_to_breakout_level,high_prev_day,low_prev_day,sweep_daily_high,sweep_daily_low,bearish_wick_ratio,bullish_wick_ratio,rejection_dist_daily_high,rejection_dist_daily_low,sweep_strength_daily_high,sweep_strength_daily_low,swing_high_50,swing_low_50,sweep_swing_high_50,sweep_swing_low_50,range_position_pct,is_premium_zone,is_discount_zone,is_equilibrium_zone,buy_edge_score,sell_edge_score,buy_edge_reason,sell_edge_reason,atr_sma_50,atr_expansion,vol_percentile,sweep_density_50,market_regime,target_sell,session,volatility_bucket,xgb_prob,window_idx,context,theoretical_pnl,risk_multiplier,adjusted_pnl,shadow_pnl,real_pnl,opportunity_cost,saved_loss
2024-01-11 01:20:00,2028.258,2028.826,2028.088,2028.194,286,200,0,67.14570576639271,0.7308213361313847,0.7725558016529935,-0.0417344655216088,2026.2000068077928,2027.336792048412,0.7575893425753117,40.18271340499503,25.908420595905348,10.564808725439203,5.41576212392402,2028.826,2025.775,-0.936696920369222,-0.3557776756144454,0,False,False,2027.695,2021.842,2024.483,2022.0,2027.695,2024.483,2021.842,2022.0,True,False,False,True,CHOPPY,0,-0.0246031691248482,0.3131850306232965,0.0,2040.3,2020.353,False,False,0.7696476964768838,0.1436314363143447,0.0,0.0,0.0,0.0,2028.464,2021.842,True,False,92.54101262834811,True,False,False,12.237696211495564,87.76230378850444,BUY_EDGE\nLiquidity: +0\nDiscount: +2\nStructure: +10\nTotal: 12,SELL_EDGE\nLiquidity: +50\nPremium: +27\nStructure: +10\nTotal: 87,0.8535463164324445,0.88757847945993,0.1086665594912779,8.0,NORMAL,1,Asia,LOW,0.6145046,1,Asia + NORMAL,1.5,0.0,0.0,1.5,0.0,1.5,0.0
2024-01-11 01:35:00,2028.704,2028.906,2028.027,2028.274,285,200,0,63.094278997605024,0.6935109918340459,0.7392518361562663,-0.0457408443222204,2026.4431648531108,2027.3666790105715,0.7623960589059495,38.70582565705018,26.746938822936052,12.315361779567391,5.400667130146116,2028.906,2026.413,0.2023804103783923,1.6483734053598758,0,False,False,2027.695,2021.842,2024.483,2022.0,2027.695,2024.483,2021.842,2022.0,True,False,False,True,CHOPPY,0,-0.028546438991968,0.3171169181284081,0.0,2040.3,2020.353,False,False,0.2298065984073036,0.28100113765628,0.0,0.0,0.0,0.0,2028.826,2021.842,True,False,92.610779843329,True,False,False,12.216766047001302,87.7832339529987,BUY_EDGE\nLiquidity: +0\nDiscount: +2\nStructure: +10\nTotal: 12,SELL_EDGE\nLiquidity: +50\nPremium: +27\nStructure: +10\nTotal: 87,0.8283623240532344,0.9203654437772196,0.1117805594073478,9.0,NORMAL,1,Asia,LOW,0.6145046,1,Asia + NORMAL,1.5,0.0,0.0,1.5,0.0,1.5,0.0
2024-01-18 12:20:00,2016.134,2016.393,2015.38,2016.133,365,199,0,73.0680618582804,1.0844794125446242,0.665985322166672,0.4184940903779522,2012.0383156696976,2011.491985707897,1.1012395637168946,25.44259756677247,38.2988403779576,9.856676790370456,6.293191159261511,2016.393,2010.135,0.0506327173915683,-0.9976939624468028,1,False,False,2012.211,2011.377,2012.98,2009.172,2012.211,2012.98,2011.377,2009.172,False,True,True,False,CHOPPY,0,-0.194530817163353,0.235897135754441,0.0,2032.935,2001.761,False,False,0.2556762092794027,0.743336623889426,0.0,0.0,0.0,0.0,2016.291,2008.065,True,False,97.56463094792063,True,False,False,10.730610715623808,89.26938928437619,BUY_EDGE\nLiquidity: +0\nDiscount: +0\nStructure: +10\nTotal: 10,SELL_EDGE\nLiquidity: +50\nPremium: +29\nStructure: +10\nTotal: 89,1.0532386828777416,1.0455745507394645,0.2055226423360971,1.0,NORMAL,1,London,LOW,0.5481931,1,London + NORMAL,1.5,0.85,1.275,1.5,1.275,0.2250000000000001,0.0
2024-01-18 12:30:00,2016.602,2017.245,2014.291,2014.695,445,200,0,58.9363333343794,1.1592992593361942,0.8534658608775014,0.3058333984586927,2012.315767751997,2011.574541274187,1.2271963585109995,28.290090624026792,31.96300654727297,16.520238724903763,6.116108326528368,2017.245,2010.751,0.106678137985383,0.0779745474784009,1,True,False,2017.245,2011.377,2012.211,2009.172,2012.211,2012.98,2011.377,2009.172,False,True,True,False,CHOPPY,0,-0.1232940966250436,0.1646899406609925,0.0,2032.935,2001.761,False,False,0.2176709546377157,0.1367637102234269,0.0,0.0,0.0,0.0,2016.824,2008.065,True,False,77.87994448299791,True,False,False,16.636016655100626,83.36398334489937,BUY_EDGE\nLiquidity: +0\nDiscount: +6\nStructure: +10\nTotal: 16,SELL_EDGE\nLiquidity: +50\nPremium: +23\nStructure: +10\nTotal: 83,1.054807843909889,1.1634312016477633,0.2676269217023504,2.0,NORMAL,1,London,LOW,0.57307,1,London + NORMAL,1.5,0.85,1.275,1.5,1.275,0.2250000000000001,0.0
2024-01-19 01:00:00,2023.111,2024.435,2023.058,2023.369,408,200,0,55.83862045969156,0.2153489569668636,0.2923510188473894,-0.0770020618805257,2022.099993814404,2017.320980873672,0.8153449591163334,18.139477960699832,25.39761854559814,16.635586978886842,2.6057419031598696,2024.435,2020.97,-1.679988075399283,0.2386533651340213,0,True,False,2024.435,2020.97,2024.232,2022.369,2024.232,2024.152,2020.97,2022.369,True,False,False,True,CHOPPY,0,0.0426516369480829,0.1185646315625023,0.0,2024.233,2005.717,True,False,0.7741466957153722,0.0384894698621007,0.8640000000000327,0.0,0.668862745098107,0.0,2024.233,2019.275,True,False,90.66386407426836,True,False,False,12.800840777719497,87.1991592222805,BUY_EDGE\nLiquidity: +0\nDiscount: +2\nStructure: +10\nTotal: 12,SELL_EDGE\nLiquidity: +50\nPremium: +27\nStructure: +10\nTotal: 87,0.8247890631149545,0.988549672383502,0.0960493280099619,5.0,CHOPPY_TREND,1,Asia,LOW,0.5305058,1,Asia + CHOPPY_TREND,1.5,0.0,0.0,1.5,0.0,1.5,0.0
2024-01-19 10:55:00,2030.606,2030.943,2030.166,2030.317,274,200,0,59.81226641161309,0.5885689888557408,0.6622917199238497,-0.0737227310681089,2028.1029586441653,2023.2126072634896,0.8064130647206882,33.02117160996155,30.596284715762284,16.775562273522183,5.485660287307907,2030.943,2027.574,-0.0758341329920822,0.1592014299712459,1,False,False,2030.817,2028.859,2030.844,2027.574,2030.817,2030.844,2028.859,2027.574,False,True,True,False,CHOPPY,0,0.0246266962252692,0.0718114461928892,0.0,2024.233,2005.717,False,False,0.4337194337193953,0.19433719433727,0.0,0.0,0.0,0.0,2030.844,2023.031,True,False,94.11432869499832,True,False,False,11.765701391500498,88.2342986084995,BUY_EDGE\nLiquidity: +0\nDiscount: +1\nStructure: +10\nTotal: 11,SELL_EDGE\nLiquidity: +50\nPremium: +28\nStructure: +10\nTotal: 88,0.9568376826472254,0.8427898258008023,0.1313334929302695,5.0,NORMAL,1,London,LOW,0.5979795,1,London + NORMAL,1.5,0.6,0.8999999999999999,1.5,0.8999999999999999,0.6000000000000001,0.0
2024-01-19 11:05:00,2030.39,2031.516,2030.371,2030.829,308,200,0,63.66329345709933,0.6042502862003403,0.6380786415647842,-0.0338283553644439,2028.2977661301968,2023.359551650738,0.809810244580588,33.1630153742725,32.49802757921719,14.40396334110491,6.000381960423288,2031.516,2027.574,0.3637487692502776,-0.1929916358248977,1,False,False,2030.817,2028.859,2030.844,2027.574,2030.817,2030.844,2028.859,2027.574,False,True,True,False,CHOPPY,0,-0.0005908916998892,0.0970047207322737,0.0,2024.233,2005.717,False,False,0.6000000000001191,0.0165938864628871,0.0,0.0,0.0,0.0,2030.943,2023.642,True,False,93.87099652065196,True,False,False,11.838701043804411,88.1612989561956,BUY_EDGE\nLiquidity: +0\nDiscount: +1\nStructure: +10\nTotal: 11,SELL_EDGE\nLiquidity: +50\nPremium: +28\nStructure: +10\nTotal: 88,0.9575246345274568,0.8457330647524285,0.1329333252977793,6.0,NORMAL,1,London,LOW,0.5928445,1,London + NORMAL,1.5,0.85,1.275,1.5,1.275,0.2250000000000001,0.0
2024-01-26 01:20:00,2023.143,2024.172,2022.967,2023.176,293,200,0,69.06105660232691,0.8608860952922441,0.6072534098047924,0.2536326854874517,2020.14918062646,2018.400730159877,0.8454601847147203,37.61369903088541,39.103471336736376,10.95762907521198,7.512357038245132,2024.172,2019.321,-0.4233795119766284,-0.920017160232288,1,True,False,2024.172,2019.321,2020.866,2019.273,2020.866,2021.527,2019.321,2019.273,False,True,True,False,CHOPPY,0,-0.1141769178756541,0.1905419993119737,0.0,2025.271,2009.361,False,False,0.8265560165976388,0.1460580912862585,0.0,0.0,0.0,0.0,2023.599,2016.869,True,False,91.53349200951986,True,False,False,12.539952397144043,87.46004760285595,BUY_EDGE\nLiquidity: +0\nDiscount: +2\nStructure: +10\nTotal: 12,SELL_EDGE\nLiquidity: +50\nPremium: +27\nStructure: +10\nTotal: 87,0.7534932700068437,1.1220540610601435,0.1378238909904856,5.0,NORMAL,1,Asia,LOW,0.68218774,1,Asia + NORMAL,1.5,0.0,0.0,1.5,0.0,1.5,0.0
2024-01-30 06:15:00,2035.244,2035.642,2034.241,2034.965,458,199,0,71.14966531953738,0.5398358889126484,0.290664918878991,0.2491709700336574,2032.3232048483644,2030.343830677805,0.8175112379009158,22.217479424909108,32.0568462048808,8.602630204143368,3.715096459046049,2035.642,2031.154,0.0012669881186907,-0.1200082815303741,0,False,False,2033.279,2031.976,2033.001,2031.154,2033.279,2033.001,2031.154,2031.688,True,False,False,True,CHOPPY,0,-0.0828515478153148,0.1872759482349781,0.0,2037.561,2019.282,False,False,0.2840827980015126,0.5167737330477501,0.0,0.0,0.0,0.0,2035.305,2029.773,True,False,89.79807112718298,True,False,False,13.060578661845106,86.93942133815489,BUY_EDGE\nLiquidity: +0\nDiscount: +3\nStructure: +10\nTotal: 13,SELL_EDGE\nLiquidity: +50\nPremium: +26\nStructure: +10\nTotal: 86,0.6499617677999566,1.257783576117578,0.2372548863548675,4.0,CHOPPY_TREND,1,Asia,LOW,0.5183672,1,Asia + CHOPPY_TREND,1.5,0.0,0.0,1.5,0.0,1.5,0.0
2024-01-31 19:55:00,2047.624,2048.733,2044.44,2044.692,1395,199,0,42.71020105437171,-0.6066736151954046,-0.8840903910634548,0.2774167758680501,2047.0975521054963,2042.7736118685857,2.9619092198522776,27.022046812447236,16.708272881366586,23.350149202883888,0.0583516780551655,2050.806,2039.454,1.5525495819836483,-0.1996784462484223,1,False,False,2050.806,2039.454,2048.501,2047.706,2048.501,2049.798,2039.454,2047.706,False,True,False,True,DOWNTREND,0,0.1862872256555117,0.256175502227233,0.1474060640917994,2048.558,2029.029,True,False,0.2583275098998648,0.0587002096435932,3.8659999999999854,0.0,0.9986941532728738,0.0,2054.039,2039.454,False,False,43.53676838419244,False,False,True,16.938969484742266,83.06103051525773,BUY_EDGE\nLiquidity: +0\nDiscount: +16\nStructure: +0\nTotal: 16,SELL_EDGE\nLiquidity: +50\nPremium: +13\nStructure: +20\nTotal: 83,1.8732214786979668,1.581184740808037,0.9999999996035398,1.0,NORMAL,1,NY,LOW,0.55746776,1,NY + NORMAL,1.5,0.6,0.8999999999999999,1.5,0.8999999999999999,0.6000000000000001,0.0
