Feature,Mean Rank,Std Rank,Rank History
market_score,2.5555555555555554,0.9558139185602919,"[1, 3, 3, 3, 4, 2, 3, 3, 1]"
candidate_probability,3.111111111111111,1.286204100310025,"[4, 4, 2, 4, 1, 1, 4, 4, 4]"
market_regime,2.2222222222222223,0.6285393610547089,"[3, 2, 1, 2, 2, 3, 2, 2, 3]"
session,2.111111111111111,1.1967032904743342,"[2, 1, 4, 1, 3, 4, 1, 1, 2]"
