Baseline Model,Mean OOS AUC,Std OOS AUC
Market Score Only,0.5282084370292536,0.05514527328204734
Candidate + Market Score,0.5252443718468666,0.05909034756389598
Candidate Prob Only,0.500211326941909,0.0718330513875079
Candidate + Score + Context,0.4983861546793984,0.05985093808943444
