engine,symbol,session,regime,strategy,hour,weekday,pnl,result,r_multiple
Legacy,XAUUSD,LONDON,RANGE,London Breakout,9,2,10.85604633039111,WIN,1.4999999999999996
Legacy,XAUUSD,LONDON,RANGE,London Breakout,10,2,11.199346592506117,WIN,1.5000000000000162
Legacy,XAUUSD,LONDON,RANGE,Volatility Expansion Breakout,11,2,11.728071344634373,WIN,1.5000000000000022
Legacy,XAUUSD,LONDON,RANGE,Volatility Expansion Breakout,11,2,11.80754839144629,WIN,1.5000000000000158
Legacy,XAUUSD,LONDON,RANGE,Volatility Expansion Breakout,11,2,-8.281756147085616,LOSS,-0.9999999999999897
Legacy,XAUUSD,LONDON,RANGE,Volatility Expansion Breakout,11,2,-8.712344993722581,LOSS,-1.0000000000000169
Legacy,XAUUSD,LONDON,RANGE,Volatility Expansion Breakout,12,2,16.177063899204768,WIN,1.5000000000000029
Legacy,XAUUSD,LONDON,RANGE,Volatility Expansion Breakout,12,2,19.386880763547197,WIN,1.499999999999992
Legacy,XAUUSD,LONDON,RANGE,Volatility Expansion Breakout,12,2,21.132730431009804,WIN,1.5000000000000002
Legacy,XAUUSD,LONDON,RANGE,Volatility Expansion Breakout,12,2,22.265344096125773,WIN,1.499999999999998
Legacy,XAUUSD,LONDON_NY_OVERLAP,RANGE,NY Breakout,13,2,-16.358058249982605,LOSS,-0.9999999999999982
Legacy,XAUUSD,LONDON_NY_OVERLAP,RANGE,Volatility Expansion Breakout,13,2,-16.965756858403438,LOSS,-1.0000000000000013
