regime,condition,forward_bars,samples,mean_return_bps,hit_rate,t_stat,p_value,tail_ratio,cpcv_consistency
LOW_VOL_COMPRESSION,CVD_MOMENTUM_UP,20,5329,1.829366280294564,0.5280540439106775,4.303980420178222,1.7076362734462357e-05,1.1213515175388473,1.0
LOW_VOL_COMPRESSION,STRONG_BUY_AGGRESSION,20,6884,1.5542851111711078,0.5184485764090645,4.257171376595367,2.0978037480575672e-05,1.1268748798025978,1.0
NORMAL_VOLATILITY,CVD_MOMENTUM_DOWN,20,3690,2.26414138271242,0.5439024390243903,4.248555108984172,2.2046850411391292e-05,1.0885901179287596,0.9333333333333333
LOW_VOL_COMPRESSION,CVD_MOMENTUM_DOWN,20,4965,1.995254467619961,0.5448136958710977,4.108812758637589,4.041067734829895e-05,1.0843091166737493,0.8666666666666667
NORMAL_VOLATILITY,STRONG_SELL_AGGRESSION,20,5578,1.572986555018738,0.5338831122266046,4.035404037322009,5.523780233225351e-05,1.1441595279981216,0.9333333333333333
LOW_VOL_COMPRESSION,HIGH_LOWER_WICK,20,6796,1.5125199474825188,0.5345791642142437,3.988850278430102,6.709141989853277e-05,1.082549038086459,0.8666666666666667
NORMAL_VOLATILITY,STRONG_BUY_AGGRESSION,20,5611,1.5271624177706054,0.5298520762787382,3.8951619944804903,9.927427902519791e-05,1.1099295042431032,0.9333333333333333
NORMAL_VOLATILITY,CVD_MOMENTUM_DOWN,10,3690,1.405173761422697,0.5420054200542005,3.8916695506423387,0.00010131504749138985,1.0275999564867182,1.0
LOW_VOL_COMPRESSION,HIGH_LOWER_WICK,10,6796,0.9512830347444151,0.527663331371395,3.775876805960124,0.00016080572292852743,0.9926546382200646,0.9333333333333333
NORMAL_VOLATILITY,CVD_MOMENTUM_UP,20,4055,1.7708012950161918,0.523304562268804,3.640707962916422,0.0002752832053518982,1.1523075377306842,0.8666666666666667
NORMAL_VOLATILITY,HIGH_UPPER_WICK,20,6008,1.261422560682998,0.5186418109187749,3.412601181000779,0.0006477092833156302,1.1204654232560853,0.8666666666666667
NORMAL_VOLATILITY,HIGH_UPPER_WICK,5,6008,0.5285720807493305,0.5226364846870839,3.0949186439677567,0.0019777241310474287,1.0912733030532729,1.0
LOW_VOL_COMPRESSION,HIGH_LOWER_WICK,5,6796,0.5253499932743697,0.5226603884638023,2.9962893296232704,0.0027427379938172454,1.0442262386105068,0.8666666666666667
LOW_VOL_COMPRESSION,VOLATILITY_SPIKE,20,1639,2.5166536622286944,0.5478950579621721,2.9063768181087664,0.0037055487559307736,1.0986557413332283,0.8
HIGH_VOL_EXPANSION,CVD_MOMENTUM_DOWN,5,11331,-0.9977653046304026,0.4814226458388492,-2.9002958016117155,0.0037352744684092188,0.8207529899294789,0.9333333333333333
NORMAL_VOLATILITY,STRONG_SELL_AGGRESSION,10,5578,0.7376005306145635,0.5247400501972033,2.8157168476841163,0.004883938523579371,1.0747147570353786,0.8666666666666667
HIGH_VOL_EXPANSION,VOLATILITY_SPIKE,20,2762,3.5354119579055476,0.557204923968139,2.786710892821768,0.005360994521032938,0.9275761644985575,0.8666666666666667
LOW_VOL_COMPRESSION,CVD_MOMENTUM_DOWN,10,4965,0.8733137507188857,0.5430010070493454,2.750763245082302,0.005967216986793465,0.9450122086939774,1.0
HIGH_VOL_EXPANSION,CVD_MOMENTUM_DOWN,10,11331,-1.2712740107475164,0.47224428558820936,-2.693610581857577,0.007078677064992838,0.8006757406114439,0.9333333333333333
LOW_VOL_COMPRESSION,STRONG_SELL_AGGRESSION,20,6935,0.9762716813535608,0.5255948089401586,2.6666005605978516,0.007680052990817997,1.0225948138695025,0.8
NORMAL_VOLATILITY,HIGH_UPPER_WICK,10,6008,0.6626396606878691,0.5199733688415447,2.6543127944410103,0.007967957445340543,1.026516582133359,1.0
NORMAL_VOLATILITY,HIGH_LOWER_WICK,20,5927,0.9963788181185572,0.5206681289016366,2.538712940174823,0.011151474143754489,1.081266970190892,0.8
LOW_VOL_COMPRESSION,CVD_MOMENTUM_UP,10,5329,0.7238798729631645,0.5188590729968099,2.4487762082234967,0.014366251389356537,1.055857033447043,1.0
NORMAL_VOLATILITY,STRONG_BUY_AGGRESSION,10,5611,0.6564578449928742,0.5184459098199964,2.4475866476257697,0.01441209663280273,1.057585899372746,0.7333333333333333
NORMAL_VOLATILITY,VOLATILITY_SPIKE,20,1510,2.1455458358127957,0.5423841059602649,2.4154745681225087,0.015832893737947717,1.0536555387653972,0.8666666666666667
LOW_VOL_COMPRESSION,STRONG_BUY_AGGRESSION,10,6884,0.5856580751150726,0.5155432887855897,2.3918947116457683,0.01678832302971262,1.008038836112107,0.8666666666666667
HIGH_VOL_EXPANSION,CVD_MOMENTUM_DOWN,20,11331,-1.465843826073545,0.4687141470302709,-2.3203523848674417,0.02033949217378419,0.8189594480022018,0.8666666666666667
LOW_VOL_COMPRESSION,HIGH_UPPER_WICK,20,7061,0.8667686859614873,0.5157909644526271,2.31446326926072,0.020670876812352426,1.0854046643324617,0.7333333333333333
LOW_VOL_COMPRESSION,STRONG_SELL_AGGRESSION,10,6935,0.5392591637050981,0.5300648882480173,2.222627474140537,0.026273059469185497,1.0164060009677784,0.9333333333333333
HIGH_VOL_EXPANSION,CVD_MOMENTUM_UP,5,10606,0.6203810858164417,0.5117857816330379,2.1310485283890332,0.03310807785383669,1.0319892110800255,0.8666666666666667
NORMAL_VOLATILITY,STRONG_BUY_AGGRESSION,5,5611,0.39107668538284374,0.5059704152557476,2.0976084561502093,0.03598437982010525,1.0146040118804844,0.8
LOW_VOL_COMPRESSION,CVD_MOMENTUM_UP,5,5329,0.4259953445912242,0.5119159316945018,2.078441776482577,0.037716436309992954,1.020187925750949,0.8
LOW_VOL_COMPRESSION,CVD_MOMENTUM_DOWN,5,4965,0.4391086407315242,0.5369587109768379,2.0092777684022414,0.04456171666715578,0.9538971864178302,0.9333333333333333
