timestamp,direction,label,final_score,trend_score,breakout_score,reversal_score,session_score,atr,adx,ema50_slope,rsi,macd,hour_utc,is_high_volatility,is_buy,recent_high_20_distance,recent_low_20_distance
2026-05-29 18:45:00,BUY,0,75.0,0.0,0.0,0.0,60.0,4.290109877147242,15.58385485164221,0.12211328309250288,38.37569983688817,-1.424011083339792,18,0,1,3.5954790067652773,0.4086142430380568
2026-05-29 18:50:00,BUY,0,75.0,0.0,0.0,0.0,60.0,4.15303060020816,16.86995127472789,-0.3628340630812247,40.151870516686195,-1.6433293724512623,18,0,1,3.5195984347590987,0.6166581098324294
2026-05-29 19:05:00,BUY,0,80.0,0.0,0.0,0.0,60.0,4.048337911318224,17.11404761741209,-1.4986921014726076,49.73715433952535,-1.622950546406173,19,0,1,2.1221054635735532,1.8963337962813207
2026-05-29 19:20:00,SELL,1,80.0,0.0,0.0,0.0,60.0,3.718350361212146,15.153174412776732,-0.24949081321644356,45.89138430852525,-1.1781793125473996,19,0,0,1.4436509415563727,1.5415438146424143
2026-05-29 19:35:00,BUY,0,75.0,0.0,0.0,0.0,60.0,3.512214921130892,16.13323250068145,-1.3157583002250106,39.012432925741834,-1.5784836909897422,19,0,1,2.565902201992228,0.5597607333685947
2026-05-29 19:40:00,BUY,0,75.0,0.0,0.0,0.0,60.0,3.4612709981929695,16.901782718788176,-1.9926946759585933,36.88659296343186,-1.80989600108569,19,0,1,2.964806860068805,0.20686042796826726
2026-05-29 19:45:00,BUY,0,75.0,0.0,-80.0,0.0,60.0,3.4540373554649415,18.221186790961323,-2.8090205540146567,32.56469046402148,-2.196092016104558,19,0,1,3.7894784140914584,-0.6111688388835386
2026-05-29 19:50:00,BUY,0,75.0,0.0,-80.0,2.1499742453354287,60.0,3.5042489729317423,19.967573556775058,-3.682815557432667,29.570005150932914,-2.6546434009087534,19,0,1,4.382679461029074,-1.2499111889118117
2026-05-29 19:55:00,BUY,0,75.0,0.0,0.0,5.652949988754159,60.0,3.640874046293787,22.017152543368013,-4.252855269793954,28.869410002249168,-3.028008236286041,19,0,1,4.370928463235181,-0.7325164139403073
2026-05-29 20:00:00,BUY,0,75.0,0.0,0.0,12.583416305165898,60.0,3.7383116144156676,23.9698051994283,-4.818896677609283,27.48331673896682,-3.373692842506898,20,0,1,4.550984977922769,-0.2573354228389823
2026-05-29 20:50:00,SELL,1,85.0,-100.0,-80.0,3.120399031875394,60.0,3.209675176757589,33.38734337821113,-6.236479203570005,29.37592019362492,-3.8677217051927073,20,0,0,6.163863603165424,-0.30937710058330925
2026-05-31 22:00:00,SELL,0,85.0,-100.0,-80.0,76.17709012604216,60.0,4.482929106489967,37.82251801857189,-6.347959271175405,14.764581974791568,-5.493617735543012,22,0,0,8.633417812467506,-4.290944501476008
2026-05-31 23:10:00,SELL,1,75.0,0.0,0.0,0.0,20.0,4.567703742736577,26.892122512598856,-2.4348041568510754,53.432433746709926,-1.8178203247898637,23,0,0,0.6300758897897262,5.254500149701029
2026-05-31 23:15:00,SELL,1,75.0,0.0,0.0,0.0,20.0,4.409296332541069,25.411186450749636,-1.8082638930385473,52.91668891398727,-1.3520883640530883,23,0,0,0.5059764261103666,5.36344083419101
2026-05-31 23:20:00,SELL,1,75.0,0.0,0.0,0.0,20.0,4.34534659450243,23.672149420165386,-1.1571783730931464,53.100888312297904,-0.9611805502108837,23,0,0,0.482815341509068,5.4729811495562295
2026-05-31 23:25:00,BUY,0,80.0,0.0,80.0,0.0,20.0,4.274678980609382,22.460168688703472,-0.6504729437930936,56.645558657639135,-0.43806838209820853,23,0,1,-0.11299094088473761,6.167246738196272
2026-05-31 23:30:00,SELL,1,80.0,0.0,0.0,0.0,20.0,4.445987624851552,21.112725334616012,-0.7671494631315229,48.571650713445266,-0.4437090665451251,23,0,0,0.9550184027203326,4.744052790903548
2026-05-31 23:50:00,BUY,0,80.0,0.0,0.0,0.0,20.0,4.263854606241773,17.065247732131997,-0.966743687709803,55.18683857196323,0.21487069530212466,23,0,1,0.38533208838661476,5.709387924335729
2026-05-31 23:55:00,SELL,1,80.0,0.0,0.0,0.0,20.0,4.345864991510236,16.19300189393338,-0.92014747562783,47.927086786842395,0.06906957660248736,23,0,0,1.470823417774544,3.5889287933400853
2026-06-01 00:00:00,BUY,0,80.0,0.0,0.0,0.0,20.0,4.66694606354518,15.945288851015473,-0.4956972061265661,55.14700329616746,0.3845009556653167,0,0,1,0.21341579406287314,2.998320488274488
2026-06-01 00:05:00,SELL,1,80.0,0.0,0.0,0.0,20.0,4.653949916149072,15.715269596877414,-0.5760075052458216,49.77157606001392,0.31590159788720484,0,0,0,1.052654215938174,2.1680508346228944
2026-06-01 00:25:00,BUY,0,80.0,0.0,0.0,0.0,20.0,4.712268236024946,16.302641189257784,-0.9903067760490061,52.97302894775845,0.17115398793703207,0,0,1,0.6767441580722685,2.5930187731221856
2026-06-01 00:30:00,SELL,1,80.0,0.0,0.0,0.0,20.0,5.02167764773744,16.70783144033719,-1.0981525236387797,46.48576932986528,-0.06937456000105158,0,0,0,1.5825388560294777,0.6985713233865738
2026-06-01 00:35:00,BUY,0,75.0,0.0,0.0,0.0,20.0,4.929986387184721,17.236549600475026,-1.4098349834514534,44.55191032730462,-0.3819553361927319,0,0,1,1.9296199325678742,0.39391589499073454
2026-06-01 00:40:00,BUY,0,75.0,0.0,0.0,0.0,20.0,4.7277730738143955,17.736318345366566,-1.6079074402159952,43.522202337462865,-0.6884735473258843,0,0,1,2.1870762066117657,0.18549959702123323
2026-06-01 00:45:00,BUY,0,75.0,0.0,0.0,0.0,20.0,4.827289282827595,16.539325095441164,-1.464180861207891,51.44314331591765,-0.4884126181868851,0,0,1,1.0192055440933039,1.3044588030802848
