timestamp,final_score,trend_score,breakout_score,reversal_score,session_score,atr,atr_pct,adx,ema50_slope,rsi,macd,trend_state,volatility_state,direction,hour_utc,is_high_volatility,is_buy,recent_high_20_distance,recent_low_20_distance,recent_high_20_distance_pct,recent_low_20_distance_pct,result_r,label
2017-12-29 17:00:00,85,100.0,0.0,-33.32826547329432,60.0,1.13584983559441,0.08703763462306113,42.464010355404405,8.941047980486903,76.66565309465886,1.7818364224333436,TRENDING_UP,HIGH_VOLATILITY,BUY,17,1,1,-1.0802484285768097,7.640974826094169,-0.0940222680286043,0.6650523750775923,-1.0,0
2017-12-29 17:45:00,85,100.0,0.0,-48.151032038359034,60.0,1.0927427437321346,0.0836669244693506,45.72990897810609,10.350892080078452,79.6302064076718,1.9197307071062824,TRENDING_UP,HIGH_VOLATILITY,BUY,17,1,1,-0.6771950710673456,8.906030313010081,-0.05665882886200811,0.7451401655203613,-1.0,0
2017-12-29 18:00:00,85,100.0,0.0,-62.55180984091339,60.0,1.1091896906084173,0.0848486327178525,47.324978516906036,11.141365023134027,82.51036196818268,2.0535055171787917,TRENDING_UP,HIGH_VOLATILITY,BUY,18,1,1,-1.076461501679683,9.752164207428416,-0.0913362865909274,0.827457799040281,-1.0,0
2018-01-02 08:30:00,75,100.0,0.0,-9.472585758358818,60.0,1.1384548271977812,0.08687828828083148,33.81490790088352,10.150320317103905,71.89451715167176,1.8592945890270585,TRENDING_UP,NORMAL_VOLATILITY,BUY,8,0,1,-0.1405413690360552,7.541801215893466,-0.012209993574497128,0.6552187801911179,2.5,1
2018-01-02 09:30:00,85,100.0,0.0,-14.740315177491254,60.0,1.0467456872031558,0.07983191468517883,37.084342035167246,11.218295952388093,72.94806303549825,1.858750965917352,TRENDING_UP,NORMAL_VOLATILITY,BUY,9,0,1,-0.29137927552849896,8.952508822881937,-0.023261365465020348,0.7146959205666216,2.5,1
2018-01-02 09:45:00,85,100.0,0.0,-30.469687589318184,60.0,1.052192423831489,0.08018402555600264,38.45455000526085,11.400890152080198,76.09393751786364,1.9340175047373123,TRENDING_UP,NORMAL_VOLATILITY,BUY,9,0,1,-0.7812259253935991,9.889826009302737,-0.06264183956677216,0.7930060614743504,-1.0,0
2018-01-02 13:15:00,85,75.0,0.0,0.0,100.0,1.043665043371507,0.07948469492311401,37.57713232797068,8.426135316275948,66.09275256768868,1.228310955979623,TRENDING_UP,NORMAL_VOLATILITY,BUY,13,0,1,-0.15522221523938542,3.8355217753278783,-0.012337790423592489,0.30486527818289705,-1.0,0
2018-01-02 13:30:00,85,75.0,0.0,0.0,100.0,1.0429032545592494,0.0793893724505692,38.48594896469514,8.869829583396855,68.44714001174346,1.2931186038276792,TRENDING_UP,NORMAL_VOLATILITY,BUY,13,0,1,-0.3538199716865021,3.9294152953160055,-0.02808954551266957,0.3119538143928058,-1.0,0
2018-01-02 19:00:00,75,100.0,0.0,0.0,60.0,1.0099177124043757,0.07680146135464296,30.424387105352515,7.110652581839983,67.36378904719827,0.7530177547841959,TRENDING_UP,NORMAL_VOLATILITY,BUY,19,0,1,-0.18417342097813066,4.159744846932561,-0.014144787873804292,0.31947448310686627,2.5,1
2018-01-02 19:15:00,75,100.0,0.0,0.0,60.0,0.9833521615183594,0.07476996597537652,31.665216803282952,7.7692934217776175,68.29115182657175,0.8360767630379087,TRENDING_UP,NORMAL_VOLATILITY,BUY,19,0,1,-0.03864332788096632,4.4734736670612225,-0.0028893603108351706,0.3344814738779104,2.5,1
2018-01-02 19:30:00,75,100.0,0.0,0.0,60.0,0.9462555785527581,0.07194617952283203,33.02865988308214,8.04155380396764,68.56804716369504,0.8961705528317907,TRENDING_UP,NORMAL_VOLATILITY,BUY,19,0,1,-0.06023742558769851,4.7090871652406205,-0.004333852635325793,0.33880083057906585,2.5,1
2018-01-02 19:45:00,75,100.0,0.0,-9.069720803531709,60.0,0.9438087515132779,0.07172207774100181,34.68435917846744,8.4546642622871,71.81394416070634,0.9887207237206894,TRENDING_UP,NORMAL_VOLATILITY,BUY,19,0,1,-0.4704342900911463,5.460852097139606,-0.03374052472595019,0.39166365864315944,2.5,1
2018-01-02 20:00:00,85,100.0,0.0,-19.948202682781044,60.0,0.9556795549766244,0.07259520338612362,36.57564966877532,8.805144387778505,73.98964053655621,1.0918444106139304,TRENDING_UP,NORMAL_VOLATILITY,BUY,20,0,1,-0.34948953157026524,5.942368412536558,-0.025371263625664477,0.4313874435033679,2.5,1
2018-01-02 20:30:00,85,100.0,0.0,-46.25726092898866,60.0,0.9744073713829169,0.07393378570767824,40.64488340062944,9.708152025349522,79.25145218579773,1.3274420128816473,TRENDING_UP,NORMAL_VOLATILITY,BUY,20,0,1,-1.181230801206169,6.9303662906570676,-0.08733286492768597,0.5123882162091564,-1.0,0
2018-01-02 23:30:00,85,100.0,0.0,-36.71439267498748,20.0,1.0992520039604554,0.0832286213534653,50.24129197781284,9.483984023142554,77.3428785349975,1.685747897514375,TRENDING_UP,NORMAL_VOLATILITY,BUY,23,0,1,-1.7166218421265909,8.574921825058617,-0.14287206930544213,0.7136789217133693,-1.0,0
2018-01-03 02:45:00,85,-100.0,0.0,3.0915136130729337,20.0,1.4873268485833528,0.11334768973055949,43.74906159285494,-0.6409998053961362,29.381697277385413,-0.2673668569555048,TRENDING_DOWN,NORMAL_VOLATILITY,SELL,2,0,0,6.148614884959819,-0.2823858121031795,0.6969312922531253,-0.03200777941458326,-1.0,0
2018-01-09 13:30:00,85,-100.0,0.0,17.409138839856055,100.0,1.1205868662149294,0.08542399692443549,37.31108504553696,-4.434145304539844,26.51817223202879,-0.8674432355742283,TRENDING_DOWN,NORMAL_VOLATILITY,SELL,13,0,0,4.021107274994248,-1.298426783203844,0.34349905549193377,-0.11091680553500985,-1.0,0
2018-01-09 14:30:00,85,-100.0,0.0,21.747017562710482,100.0,1.3539526625875875,0.10338097086735294,41.64683530082676,-6.387505399005642,25.650596487457904,-1.3109103022525233,TRENDING_DOWN,HIGH_VOLATILITY,SELL,14,1,0,4.606512599990258,-0.27770542530001696,0.47622574489968716,-0.028709456482646917,-1.0,0
2018-01-10 10:00:00,75,100.0,0.0,-18.81736049192213,60.0,1.1578423216663938,0.08792835381981451,34.79396392213128,5.450496542203492,73.76347209838443,1.2280314498175358,TRENDING_UP,NORMAL_VOLATILITY,BUY,10,0,1,-1.157325116663,6.648573692591167,-0.10176169234250237,0.5845981400392668,2.5,1
2018-01-10 10:30:00,85,100.0,0.0,-45.48679479249728,60.0,1.6090273079674702,0.12186332665084289,40.15013573041687,5.303661587478883,79.09735895849946,1.6955758900489855,TRENDING_UP,HIGH_VOLATILITY,BUY,10,1,1,-1.8893402150148115,6.991801782538449,-0.23024128377692374,0.8520442245034285,-1.0,0
2018-01-10 11:00:00,85,100.0,0.0,-72.18142891708737,60.0,2.031278648196443,0.15340060447077203,46.28589925628539,6.895076263531264,84.43628578341747,2.52907287018229,TRENDING_UP,HIGH_VOLATILITY,BUY,11,1,1,-0.6754366276719503,7.415033881921288,-0.10361238696657696,1.137470679657981,-1.0,0
2018-01-12 04:15:00,75,100.0,0.0,-38.19133878089346,20.0,0.9651753590884711,0.07263358080116246,30.098872465120944,8.71745275216904,77.63826775617869,1.3532060561542494,TRENDING_UP,NORMAL_VOLATILITY,BUY,4,0,1,-1.1925294084249025,7.402799846390451,-0.08661768114459263,0.5376918607976339,-1.0,0
2018-01-12 04:30:00,75,100.0,0.0,-49.62429127129589,20.0,1.027234262010711,0.07725657035067471,32.76430195346684,8.933557219454167,79.92485825425918,1.518336559046702,TRENDING_UP,NORMAL_VOLATILITY,BUY,4,0,1,-0.5539145461196214,7.601966064405639,-0.04279353810055258,0.5873018260581958,-1.0,0
2018-01-12 09:30:00,75,100.0,0.0,-24.078399841167055,60.0,1.1695170638894237,0.08780349301069044,30.668526034190677,7.210069335571605,74.81567996823341,1.1792997015991205,TRENDING_UP,NORMAL_VOLATILITY,BUY,9,0,1,-0.14450409080655802,4.6130152065143974,-0.012687963927149794,0.40503884844339566,-1.0,0
2018-01-15 01:00:00,75,75.0,0.0,0.0,20.0,1.3009828844636766,0.09711835265874703,31.04317705359697,6.374114329778328,68.1731563375339,1.4774594878376774,TRENDING_UP,NORMAL_VOLATILITY,BUY,1,0,1,-0.22828893719263813,6.028518971049577,-0.022171045510365184,0.5854798314403397,-1.0,0
2018-01-15 02:00:00,75,75.0,0.0,0.0,20.0,1.482694324322342,0.11057843956961291,32.252515769047385,6.721334714955294,68.90046821429118,1.4787372078724275,TRENDING_UP,NORMAL_VOLATILITY,BUY,2,0,1,-0.5881185256432503,2.9527326895252664,-0.06503322884761199,0.3265085732738903,-1.0,0
2018-01-15 04:30:00,85,100.0,0.0,-17.948079268577075,20.0,1.162173993748196,0.08655371140283873,36.733502802709076,8.749665835217412,73.58961585371542,1.5152060859613812,TRENDING_UP,NORMAL_VOLATILITY,BUY,4,0,1,-0.5808080404750515,5.373549944840015,-0.050271091515725876,0.4651006911344225,-1.0,0
2018-01-15 05:15:00,85,100.0,0.0,-23.840624802931032,20.0,1.2185420059273941,0.09066674448986138,39.35018177159707,9.072704972939986,74.7681249605862,1.607482134224938,TRENDING_UP,NORMAL_VOLATILITY,BUY,5,0,1,-0.9404681943055163,6.080217148001679,-0.08526918947393956,0.5512734946007419,-1.0,0
2018-01-16 10:30:00,85,-100.0,0.0,33.11852891406609,60.0,1.3871643298300425,0.10414177894153152,39.918078500590035,-7.912406861978305,23.376294217186782,-1.8788297019600577,TRENDING_DOWN,NORMAL_VOLATILITY,SELL,10,0,0,6.883106633206058,-0.6704324642731992,0.7168189694263347,-0.06982002948956575,-1.0,0
2018-01-17 01:45:00,75,100.0,0.0,-12.977954459419152,20.0,1.203632962392777,0.08957948528132198,32.86614689735062,6.331389831962469,72.59559089188383,1.3996221583304305,TRENDING_UP,NORMAL_VOLATILITY,BUY,1,0,1,-0.8333105118739875,5.045558064417719,-0.07464752673318675,0.45197849436756243,-1.0,0
2018-01-17 06:45:00,75,-100.0,0.0,0.0,20.0,1.4701279639862546,0.11026020373008961,32.474324860100616,-4.4190535895524965,32.9428596074774,-1.3377208023528055,TRENDING_DOWN,NORMAL_VOLATILITY,SELL,6,0,0,7.185769034251804,-0.32990325460160735,0.792304357673973,-0.03637520006359284,-1.0,0
2018-01-19 07:45:00,75,100.0,0.0,-20.712786905272935,60.0,1.1396999946070747,0.08537890830116983,31.155878096302622,4.226883528910603,74.14255738105459,0.9341033844859794,TRENDING_UP,NORMAL_VOLATILITY,BUY,7,0,1,-1.5688339110824032,4.864438033020661,-0.13394532663407013,0.415320408757994,-1.0,0
2018-01-19 08:15:00,75,100.0,0.0,-40.093394201461834,60.0,1.2925627504520183,0.09665913999243353,34.96767404899018,5.7865626316275645,78.01867884029237,1.3048528142776377,TRENDING_UP,NORMAL_VOLATILITY,BUY,8,0,1,-1.483100142975461,5.3150224216175435,-0.14335518434266328,0.5137454963140531,-1.0,0
2018-01-23 23:30:00,75,100.0,0.0,0.0,20.0,0.9510227511673662,0.07087315359114593,30.442345893461358,6.433590627909926,67.90232636746839,1.1159873109040745,TRENDING_UP,NORMAL_VOLATILITY,BUY,23,0,1,-0.1314374444213499,5.354235735948214,-0.00931538618610204,0.37947157167706,-1.0,0
2018-01-24 08:00:00,75,100.0,0.0,-30.640218833254806,60.0,1.110050971647424,0.082453324770027,30.99532354502802,5.774050606418478,76.12804376665096,0.9757646843502243,TRENDING_UP,NORMAL_VOLATILITY,BUY,8,0,1,-2.204403277417549,5.667307322530858,-0.1817603793570211,0.467288331236189,2.5,1
2018-01-24 09:15:00,85,100.0,0.0,-52.17824358184217,60.0,1.1728815940082515,0.08698740253781527,45.394721362740256,9.105499966463364,80.43564871636843,1.6750526491291566,TRENDING_UP,NORMAL_VOLATILITY,BUY,9,0,1,-0.13812135924685237,7.117513006126368,-0.01201481827587614,0.61913396893205,2.5,1
2018-01-24 09:45:00,85,100.0,0.0,-30.546029730799518,60.0,1.2333366805479116,0.09145168883977867,50.56276341822345,9.215491567086184,76.1092059461599,1.8237266627729696,TRENDING_UP,NORMAL_VOLATILITY,BUY,9,0,1,-0.003243234441349608,7.000521541420748,-0.0002965992669647578,0.6402095177221779,2.5,1
