Symbol,Asset Class,Threshold,Trades,Win Rate,Expectancy (R),Total Profit (R),Max DD (R)
BTCUSD,CRYPTO,0.35,77,33.8%,0.01,1.0,13.0
ETHUSD,CRYPTO,0.35,58,37.9%,0.14,8.0,12.0
